Age,Reduced,UnreducedRule90,UnreducedNoRule90
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0.5,0
51,0,0.2,0
52,0,0.2,0
53,0,0.2,0
54,0,0.2,0
55,0.01,0.08,0
56,0.01,0.08,0
57,0.01,0.08,0
58,0.01,0.09,0
59,0.02,0.09,0
60,0.02,0.09,0
61,0.04,0.15,0
62,0.08,0.2,0
63,0.08,0.2,0
64,0.08,0.35,0
65,0,0.35,0.2
66,0,0.35,0.2
67,0,0.2,0.15
68,0,0.2,0.15
69,0,0.2,0.15
70,0,0.2,0.15
71,0,0.2,0.15
72,0,0.2,0.15
73,0,0.2,0.15
74,0,0.2,0.15
75,0,0.5,0.5
76,0,0.5,0.5
77,0,0.5,0.5
78,0,0.5,0.5
79,0,0.5,0.5
80,0,1,1
81,0,1,1
82,0,1,1
83,0,1,1
84,0,1,1
85,0,1,1
86,0,1,1
87,0,1,1
88,0,1,1
89,0,1,1
90,0,1,1
91,0,1,1
92,0,1,1
93,0,1,1
94,0,1,1
95,0,1,1
96,0,1,1
97,0,1,1
98,0,1,1
99,0,1,1
100,0,1,1
101,0,1,1
102,0,1,1
103,0,1,1
104,0,1,1
105,0,1,1
106,0,1,1
107,0,1,1
108,0,1,1
109,0,1,1
110,0,1,1
111,0,1,1
112,0,1,1
113,0,1,1
114,0,1,1
115,0,1,1
116,0,1,1
117,0,1,1
118,0,1,1
119,0,1,1
120,0,1,1
