Age,Salary Growth,salary_increase_age
20,38702.61725663717,NA
21,42863.14861172566,NA
22,46077.88475760508,NA
23,48727.36313116738,0.0575
24,51529.18651120951,0.0575
25,54492.11473560406,0.0575
26,57625.4113329013,0.0575
27,60938.87248454313,0.0575
28,64442.85765240437,0.0575
29,68148.32196741762,0.0575
30,72066.85048054415,0.0575
31,76210.69438317545,0.0575
32,80592.80931020805,0.0575
33,85226.89584554502,0.0575
34,90127.44235666387,0.0575
35,95309.77029217205,0.0575
36,100313.53323251108,0.0575
37,105579.99372721791,0.0575
38,111122.94339789684,0.0575
39,116956.89792628643,0.0575
40,123097.13506741647,0.0525
41,129559.73465845584,0.0525
42,136361.62072802478,0.0525
43,143520.60581624607,0.0525
44,151055.43762159898,0.0525
45,158985.84809673292,0.0525
46,166537.67588132774,0.0525
47,174448.21548569083,0.0525
48,182734.50572126117,0.0525
49,191414.39474302108,0.0525
50,200506.5784933146,0.0475
51,209529.37452551373,0.0475
52,218958.19637916185,0.0475
53,228811.31521622412,0.0475
54,239107.82440095418,0.0475
55,249867.6764989971,0.045
56,259862.383558957,0.045
57,270256.8789013153,0.045
58,281067.1540573679,0.045
59,292309.8402196626,0.045
60,304002.2338284491,0.04
61,316162.3231815871,0.04
62,328808.8161088506,0.04
63,341961.16875320463,0.04
64,355639.6155033328,0.04
65,369865.20012346614,0.04
66,382810.4821277874,0.04
67,396208.84900225996,0.04
68,410076.15871733904,0.04
69,424428.82427244587,0.04
70,439283.8331219814,0.035
71,454658.76728125074,0.035
72,470571.8241360945,0.035
73,487041.83798085776,0.035
74,504088.3023101877,0.035
75,521731.39289104426,0.035
76,539991.9916422308,0.035
77,558891.7113497088,0.035
78,578452.9212469487,0.035
79,598698.7734905918,0.035
80,619653.2305627625,0.035
81,641341.0936324591,0.035
82,663788.0319095951,0.035
83,687020.613026431,0.035
84,711066.334482356,0.035
85,735953.6561892384,0.035
86,761712.0341558617,0.035
87,788371.9553513168,0.035
88,815964.9737886129,0.035
89,844523.7478712143,0.035
90,874082.0790467067,0.035
91,904674.9518133414,0.035
92,936338.5751268083,0.035
93,969110.4252562465,0.035
94,1003029.2901402151,0.035
95,1038135.3152951226,0.035
96,1074470.0513304519,0.035
97,1112076.5031270175,0.035
98,1150999.180736463,0.035
99,1191284.1520622391,0.035
100,1232979.0973844174,0.035
101,1276133.365792872,0.035
102,1320798.0335956223,0.035
103,1367025.964771469,0.035
104,1414871.8735384701,0.035
105,1464392.3891123165,0.035
106,1515646.1227312475,0.035
107,1568693.737026841,0.035
108,1623598.0178227802,0.035
109,1680423.9484465774,0.035
110,1739238.7866422075,0.035
111,1800112.1441746848,0.035
112,1863116.0692207986,0.035
113,1928325.1316435263,0.035
114,1995816.5112510496,0.035
115,2065670.0891448362,0.035
116,2137968.5422649053,0.035
117,2212797.4412441766,0.035
118,2290245.3516877224,0.035
119,2370403.9389967923,0.035
120,2453368.07686168,0.035
