Age,PubG_2010_employee_female,PubG_2010_healthy_retiree_female,Pub-2010 Disabled Female General,PubG_2010_employee_male,PubG_2010_healthy_retiree_male,Pub-2010 Disabled Male General
20,1.3e-4,NA,0.00233,3.7e-4,NA,0.00412
21,1.2e-4,NA,0.00215,3.6e-4,NA,0.00386
22,1.1e-4,NA,0.00194,3.3e-4,NA,0.00352
23,1e-4,NA,0.00176,3.1e-4,NA,0.00316
24,9e-5,NA,0.00164,2.9e-4,NA,0.00289
25,9e-5,NA,0.00164,2.8e-4,NA,0.00278
26,1e-4,NA,0.00179,3e-4,NA,0.00292
27,1.1e-4,NA,0.00196,3.1e-4,NA,0.00306
28,1.2e-4,NA,0.00215,3.3e-4,NA,0.00321
29,1.3e-4,NA,0.00235,3.4e-4,NA,0.00337
30,1.5e-4,NA,0.00257,3.6e-4,NA,0.00354
31,1.6e-4,NA,0.00281,3.8e-4,NA,0.0037200000000000002
32,1.8e-4,NA,0.00307,4e-4,NA,0.00391
33,1.9e-4,NA,0.00336,4.2e-4,NA,0.00411
34,2.1e-4,NA,0.00367,4.4e-4,NA,0.00434
35,2.3e-4,NA,0.00401,4.7e-4,NA,0.00458
36,2.5e-4,NA,0.00438,5e-4,NA,0.00486
37,2.8e-4,NA,0.00479,5.3e-4,NA,0.00518
38,3e-4,NA,0.00524,5.7e-4,NA,0.00555
39,3.3e-4,NA,0.00574,6.1e-4,NA,0.00597
40,3.6e-4,NA,0.00629,6.6e-4,NA,0.00645
41,4e-4,NA,0.00689,7.1e-4,NA,0.007
42,4.3e-4,NA,0.00754,7.7e-4,NA,0.00763
43,4.7e-4,NA,0.00825,8.3e-4,NA,0.00834
44,5.1e-4,NA,0.00902,9e-4,NA,0.00916
45,5.6e-4,NA,0.00985,9.8e-4,NA,0.01007
46,6.1e-4,NA,0.01073,0.00107,NA,0.01109
47,6.6e-4,NA,0.01167,0.00116,NA,0.01221
48,7.1e-4,NA,0.01267,0.00127,NA,0.01342
49,7.7e-4,NA,0.01373,0.00138,NA,0.0147
50,8.3e-4,0.00222,0.01483,0.00149,0.00298,0.01605
51,9e-4,0.00233,0.01535,0.00162,0.00321,0.01712
52,9.7e-4,0.00246,0.01587,0.00175,0.00346,0.01818
53,0.00105,0.00259,0.0164,0.00189,0.0037200000000000002,0.01921
54,0.00113,0.00272,0.01692,0.00203,0.00401,0.0202
55,0.00123,0.00286,0.01742,0.00219,0.00431,0.02114
56,0.00133,0.00301,0.01789,0.00236,0.00463,0.02201
57,0.00144,0.00318,0.01833,0.00255,0.00497,0.0228
58,0.00156,0.00336,0.01874,0.00275,0.00533,0.02355
59,0.0017,0.00358,0.01914,0.00296,0.00573,0.02428
60,0.0018600000000000001,0.00384,0.01956,0.00319,0.00615,0.02503
61,0.00203,0.00416,0.02,0.00344,0.00661,0.02584
62,0.00222,0.00454,0.02051,0.00371,0.00713,0.02677
63,0.00244,0.005,0.0211,0.00401,0.0077,0.02785
64,0.00269,0.00552,0.02178,0.00433,0.00836,0.02908
65,0.00296,0.00613,0.02256,0.00468,0.00913,0.03044
66,0.00327,0.00682,0.02346,0.00506,0.01003,0.03193
67,0.00362,0.0076,0.0245,0.00548,0.01108,0.03353
68,0.004,0.00849,0.02569,0.00594,0.01229,0.03524
69,0.00442,0.0095,0.02706,0.00646,0.01368,0.03706
70,0.00489,0.01063,0.02862,0.00703,0.01526,0.03901
71,0.00541,0.01191,0.03039,0.00767,0.01703,0.04113
72,0.00598,0.01335,0.03239,0.00837,0.01904,0.04344
73,0.00661,0.01497,0.03464,0.00915,0.02129,0.04599
74,0.00731,0.01679,0.03718,0.01001,0.02384,0.0488
75,0.00808,0.01883,0.04003,0.01096,0.02671,0.05192
76,0.00893,0.02111,0.04322,0.012,0.02995,0.05537
77,0.00986,0.02368,0.04678,0.01315,0.03361,0.05921
78,0.0109,0.02658,0.05075,0.0144,0.03775,0.06347
79,0.01204,0.02986,0.05517,0.01578,0.04243,0.06822
80,0.0133,0.0336,0.06007,0.0173,0.04774,0.07348
81,NA,0.03787,0.0655,NA,0.05374,0.07929
82,NA,0.04276,0.0715,NA,0.06052,0.08565
83,NA,0.04834,0.07811,NA,0.06811,0.09259
84,NA,0.05474,0.08536,NA,0.07656,0.1001
85,NA,0.06205,0.09331,NA,0.08591,0.10815
86,NA,0.07041,0.10163,NA,0.09615,0.11678
87,NA,0.07987,0.11014,NA,0.10733,0.12605
88,NA,0.09046,0.11878,NA,0.11947,0.13603
89,NA,0.10216,0.12757,NA,0.1326,0.14861
90,NA,0.11487,0.13665,NA,0.14672,0.16253
91,NA,0.12833,0.14617,NA,0.1617,0.17681
92,NA,0.14239,0.15635,NA,0.17745,0.19126
93,NA,0.15702,0.1674,NA,0.19392,0.20588
94,NA,0.17228,0.17955,NA,0.21107,0.22078
95,NA,0.18825,0.19298,NA,0.22888,0.23617
96,NA,0.20505,0.20784,NA,0.24731,0.25226
97,NA,0.22278,0.22444,NA,0.26634,0.26924
98,NA,0.24147,0.24226,NA,0.28589,0.28723
99,NA,0.26113,0.26135,NA,0.30586,0.30624
100,NA,0.2816,0.2816,NA,0.32609,0.32609
101,NA,0.30265,0.30265,NA,0.34636,0.34636
102,NA,0.32382,0.32382,NA,0.3664,0.3664
103,NA,0.34494,0.34494,NA,0.38604,0.38604
104,NA,0.36581,0.36581,NA,0.40512,0.40512
105,NA,0.38625,0.38625,NA,0.42352,0.42352
106,NA,0.40609,0.40609,NA,0.44113,0.44113
107,NA,0.42519,0.42519,NA,0.45786,0.45786
108,NA,0.44341,0.44341,NA,0.47364,0.47364
109,NA,0.46067,0.46067,NA,0.48843,0.48843
110,NA,0.4769,0.4769,NA,0.5,0.5
111,NA,0.49205,0.49205,NA,0.5,0.5
112,NA,0.5,0.5,NA,0.5,0.5
113,NA,0.5,0.5,NA,0.5,0.5
114,NA,0.5,0.5,NA,0.5,0.5
115,NA,0.5,0.5,NA,0.5,0.5
116,NA,0.5,0.5,NA,0.5,0.5
117,NA,0.5,0.5,NA,0.5,0.5
118,NA,0.5,0.5,NA,0.5,0.5
119,NA,0.5,0.5,NA,0.5,0.5
120,NA,1,1,NA,1,1
